,Place,room,bed,Condition,price,Rating,reviews
0,Doi Saket,Standard Double or Twin Room with Lake View,Beds: 1 double or 2 singles,Very good,32.0,8.4,100.0
1,Ko Larn,Budget Double Room,1 double bed,Very good,34.0,8.3,641.0
2,Bang Tao Beach,Premium Studio Room,Entire studio • 1 bathroom • 538.2feet²2 single beds,Very good,350.0,8.1,1040.0
3,San Pa Tong,Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,51.0,8.6,150.0
4,"White Sand Beach, Ko Chang",Partner offer option,1 large double bed,Fabulous,43.0,8.7,1403.0
5,Bang Sare,One Bedroom Pool Villa,"Entire villa • 1 bedroom • 1 bathroom • 1,829.9feet²1 extra-large double bed",Very good,192.0,8.3,184.0
6,Ko Yao Noi,Superior Studio with Free Kayak 30 minutes for 2 persons per stay,Multiple bed types,Fabulous,43.0,8.9,359.0
7,"Kata Noi Beach, Kata Beach",Deluxe Double or Twin Room with Sea View,Beds: 1 double or 2 singles,Very good,43.0,8.1,1148.0
8,Mae Nam,Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 301.4feet²1 extra-large double bed,Very good,43.0,8.1,1466.0
9,Choeng Mon Beach,Deluxe Cottage,Entire bungalow • 1 bedroom • 1 bathroom • 409feet²1 large double bed,Superb,43.0,9.1,437.0
10,Mae Nam,Deluxe Double Room with Plunge Pool,1 extra-large double bed,Superb,43.0,9.0,166.0
11,Panwa Beach,Bay View Suite,Private suite1 extra-large double bed,Fabulous,43.0,8.7,681.0
12,Mae Salong Nai,Standard Suite,Private suite1 extra-large double bed,Fabulous,43.0,8.7,163.0
13,"304 Industrial Park, Si Maha Phot",Superior Double Room,1 double bed,Very good,46.0,8.3,106.0
14,Surin Beach,Grand Surin Suite 1 King,Private suite • 1 bedroom • 1 living room • 1 bathroom • 753.5feet²1 extra-large double bed,Superb,43.0,9.0,278.0
15,Kata Beach,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,43.0,8.6,697.0
16,Ban Khlong Muang,One-Bedroom Family Suite,2 double beds,Good,70.0,7.8,136.0
17,Lom Kao,Standard Double Room,1 double bed,Very good,22.0,8.4,118.0
18,Lipa Noi,Superior Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 430.6feet²1 double bed,Fabulous,79.0,8.9,286.0
19,Ao Nang Beach,Deluxe Double Room with Private Pool,1 large double bed,Fabulous,79.0,8.7,546.0
20,"Kai Bae Beach, Ko Chang",Deluxe Room,1 extra-large double bed,Superb,125.0,9.0,372.0
21,Mae Nam,Luxury One-Bedroom Tented Villa,Tent1 large double bed,Very good,130.0,8.5,517.0
22,"Klong Prao Beach, Ko Chang",Standard Double or Twin Room,Beds: 1 double or 2 singles,Very good,43.0,8.4,798.0
23,"Samae Beach, Ko Larn",Deluxe Double Room (2 Adults + 1 Child),1 extra-large double bed,Very good,43.0,8.2,832.0
24,"Kata Noi Beach, Kata Beach",Deluxe Double or Twin Room,Multiple bed types,Good,43.0,7.7,485.0
25,Klaeng,Deluxe King Room with Mountain View,"2 beds (1 double, 1 extra-large double)",Very good,92.0,8.0,334.0
26,Ban Krut,Standard Double or Twin Room,Beds: 1 double or 2 singles,Very good,43.0,8.2,353.0
27,Phuket Town,Deluxe Access with Schedule Boat Transfer,Beds: 1 double or 2 singles,Very good,43.0,8.5,1245.0
28,Chanthaburi,Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,59.0,8.6,220.0
29,Ban Pak Pra (1),Superior Villa,Entire studio • 1 bathroom • 538.2feet²Multiple bed types,Very good,95.0,8.3,152.0
30,"Bang Niang Beach, Khao Lak",Upper Pool Access Room,Beds: 1 double or 2 singles,Fabulous,75.0,8.7,308.0
31,Kata Beach,Superior Double or Twin Room,1 double bed,Fabulous,43.0,8.7,526.0
32,Lipa Noi,Deluxe Double Room,1 extra-large double bed,Good,43.0,7.1,111.0
33,Mae Sot,Deluxe King Room,1 extra-large double bed,Good,47.0,7.7,133.0
34,Ko Mak,Superior Double Room with Spa Bath,1 extra-large double bed,Superb,136.0,9.2,364.0
35,Doi Saket,Standard Double or Twin Room with Lake View,Beds: 1 double or 2 singles,Very good,32.0,8.4,100.0
36,Ko Larn,Budget Double Room,1 double bed,Very good,34.0,8.3,641.0
37,Bang Tao Beach,Premium Studio Room,Entire studio • 1 bathroom • 538.2feet²2 single beds,Very good,350.0,8.1,1040.0
38,San Pa Tong,Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,51.0,8.6,150.0
39,"White Sand Beach, Ko Chang",Deluxe-Hillside,Beds: 1 double or 2 singles,Fabulous,170.0,8.7,1403.0
40,Bang Sare,One Bedroom Pool Villa,"Entire villa • 1 bedroom • 1 bathroom • 1,829.9feet²1 extra-large double bed",Very good,192.0,8.3,184.0
41,Ko Yao Noi,Superior Studio with Free Kayak 30 minutes for 2 persons per stay,Multiple bed types,Fabulous,226.0,8.9,359.0
42,Mae Nam,Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 301.4feet²1 extra-large double bed,Very good,68.0,8.1,1466.0
43,Choeng Mon Beach,Deluxe Cottage,Entire bungalow • 1 bedroom • 1 bathroom • 409feet²1 large double bed,Superb,217.0,9.1,437.0
44,Mae Nam,Deluxe Double or Twin Room with Balcony,1 extra-large double bed,Superb,232.0,9.0,166.0
45,Panwa Beach,Bay View Suite,Private suite1 extra-large double bed,Fabulous,341.0,8.7,681.0
46,Mae Salong Nai,Standard Suite,Private suite1 extra-large double bed,Fabulous,129.0,8.7,163.0
47,"304 Industrial Park, Si Maha Phot",Superior Double Room,1 double bed,Very good,46.0,8.3,106.0
48,Surin Beach,Grand Surin Suite 1 King,Private suite • 1 bedroom • 1 living room • 1 bathroom • 753.5feet²1 extra-large double bed,Superb,749.0,9.0,278.0
